source_id,primary_rq,secondary_rqs,decision,reason,reviewer_id
"FRV2-F-008","RQ-F","","INCLUDE","Eligible evidence for RQ-F; use remains limited to the ledger directness and stated claim boundary: Test acceptability implementation practicality and integration; exclude limited efficacy","AI_SCREEN_LANE_1"
"FRV2-F-009","RQ-F","","INCLUDE","Eligible evidence for RQ-F; use remains limited to the ledger directness and stated claim boundary: Pilot rehearses intended process; progression is not product efficacy safety or identity","AI_SCREEN_LANE_1"
"FRV2-F-010","RQ-F","","INCLUDE","Eligible evidence for RQ-F; use remains limited to the ledger directness and stated claim boundary: Display reasons missingness uncertainty and human authority; exposure is not comprehension","AI_SCREEN_LANE_1"
"FRV2-F-011","RQ-F","","INCLUDE","Eligible evidence for RQ-F; use remains limited to the ledger directness and stated claim boundary: Version system and log workflow roles errors and deviations; coach remains authoritative","AI_SCREEN_LANE_1"
"FRV2-F-012","RQ-F","","INCLUDE","Eligible evidence for RQ-F; use remains limited to the ledger directness and stated claim boundary: Borrow parallel logging but reject concealment; label participant-visible parallel comparison","AI_SCREEN_LANE_1"
"FRV2-F-013","RQ-F","","INCLUDE","Eligible evidence for RQ-F; use remains limited to the ledger directness and stated claim boundary: Local ethics and law control; ongoing assent and withdrawal; no recruitment authority","AI_SCREEN_LANE_1"
"FRV2-F-014","RQ-F","","INCLUDE","Eligible evidence for RQ-F; use remains limited to the ledger directness and stated claim boundary: UK-specific; test comprehension and respect withdrawal; local review required","AI_SCREEN_LANE_1"
"FRV2-F-015","RQ-F","","INCLUDE","Eligible evidence for RQ-F; use remains limited to the ledger directness and stated claim boundary: RQ-F is not SCED; carryover makes ABAB unsuitable for cumulative training effects","AI_SCREEN_LANE_1"
"FRV2-F-016","RQ-F","","INCLUDE","Eligible evidence for RQ-F; use remains limited to the ledger directness and stated claim boundary: Borrow completion stop process-event and fidelity fields; no causal claim","AI_SCREEN_LANE_1"
"FRV2-G-002","RQ-G","","INCLUDE","Eligible evidence for RQ-G; use remains limited to the ledger directness and stated claim boundary: Pain and overuse concern require clinician review; no product diagnosis or treatment","AI_SCREEN_LANE_1"
"FRV2-G-006","RQ-G","","INCLUDE","Eligible evidence for RQ-G; use remains limited to the ledger directness and stated claim boundary: Sex-specific evidence retained; no sex-based product score or restriction","AI_SCREEN_LANE_1"
"FRV2-G-007","RQ-G","","INCLUDE","Eligible evidence for RQ-G; use remains limited to the ledger directness and stated claim boundary: Clinical thresholds and return-to-play categories are not product automation inputs","AI_SCREEN_LANE_1"
"FRV2-G-008","RQ-G","","INCLUDE","Eligible evidence for RQ-G; use remains limited to the ledger directness and stated claim boundary: Male sex is not protective; multidisciplinary medical assessment required","AI_SCREEN_LANE_1"
"FRV2-G-009","RQ-G","","INCLUDE","Eligible evidence for RQ-G; use remains limited to the ledger directness and stated claim boundary: General sleep-duration guidance is not athlete readiness or injury clearance","AI_SCREEN_LANE_1"
"FRV2-G-010","RQ-G","","INCLUDE","Eligible evidence for RQ-G; use remains limited to the ledger directness and stated claim boundary: Youth directness low; illness and return-to-sport assessment remain clinician functions","AI_SCREEN_LANE_1"
"FRV2-G-011","RQ-G","","INCLUDE","Eligible evidence for RQ-G; use remains limited to the ledger directness and stated claim boundary: Under-12 athletes outside scope; product cannot substitute for team physician","AI_SCREEN_LANE_1"
"FRV2-G-012","RQ-G","","INCLUDE","Eligible evidence for RQ-G; use remains limited to the ledger directness and stated claim boundary: Concern content routes outside planner to named trained safeguarding human","AI_SCREEN_LANE_1"
"FRV2-G-013","RQ-G","","INCLUDE","Eligible evidence for RQ-G; use remains limited to the ledger directness and stated claim boundary: Organizational standard with jurisdiction-specific implementation and reporting duties","AI_SCREEN_LANE_1"
"FRV2-G-014","RQ-G","","INCLUDE","Eligible evidence for RQ-G; use remains limited to the ledger directness and stated claim boundary: Heterogeneous methods; female athletes and sport diversity underrepresented","AI_SCREEN_LANE_1"
"FRV2-G-015","RQ-G","","INCLUDE","Eligible evidence for RQ-G; use remains limited to the ledger directness and stated claim boundary: Small single-academy association study; IRRs are not individual risk scores","AI_SCREEN_LANE_1"
"FRV2-G-016","RQ-G","","INCLUDE","Eligible evidence for RQ-G; use remains limited to the ledger directness and stated claim boundary: Low event counts; sex BMI and menarche findings must not become automated thresholds","AI_SCREEN_LANE_1"
"FRV2-G-017","RQ-G","","INCLUDE","Eligible evidence for RQ-G; use remains limited to the ledger directness and stated claim boundary: Training sleep and specialization evidence low certainty; no automated risk prediction","AI_SCREEN_LANE_1"
"FRV2-G-018","RQ-G","","INCLUDE","Eligible evidence for RQ-G; use remains limited to the ledger directness and stated claim boundary: Heterogeneous incidence and recurrence ranges are not individual probabilities","AI_SCREEN_LANE_1"
"FRV2-G-019","RQ-G","","INCLUDE","Eligible evidence for RQ-G; use remains limited to the ledger directness and stated claim boundary: Case-report dominant; symptoms require human assessment and imaging is not inferred","AI_SCREEN_LANE_1"
"FRV2-G-020","RQ-G","","INCLUDE","Eligible evidence for RQ-G; use remains limited to the ledger directness and stated claim boundary: Chronic association observed; acute evidence conflicting and not a readiness rule","AI_SCREEN_LANE_1"
"FRV2-G-021","RQ-G","","INCLUDE","Eligible evidence for RQ-G; use remains limited to the ledger directness and stated claim boundary: Diagnosis and treatment remain clinical; product collects only explicit pain or limitation","AI_SCREEN_LANE_1"
"FRV2-G-022","RQ-G","","INCLUDE","Eligible evidence for RQ-G; use remains limited to the ledger directness and stated claim boundary: Opposing conceptual evidence; supports referral rather than automated model allegiance","AI_SCREEN_LANE_1"
"SRC-DOI-10.1136-BMJ.H1793","RQ-E","RQ-F","INCLUDE","Eligible evidence for RQ-E; use remains limited to the ledger directness and stated claim boundary: `GUIDANCE_OK`: supports preregistered periods/order/change/attrition reporting; carryover and irreversibility remain design constraints.","AI_SCREEN_LANE_1"
"SRC-PMID-10907753","RQ-E","RQ-D","INCLUDE","Eligible evidence for RQ-E; use remains limited to the ledger directness and stated claim boundary: `CORRECT`: supports typical error/within-subject reliability and cautions against treating correlation as agreement. | Typical-error framework; study-level reliability sample guidance is not a universal within-athlete baseline count.","AI_SCREEN_LANE_1"
"SRC-PMID-12741870","RQ-C","","INCLUDE","Eligible evidence for RQ-C; use remains limited to the ledger directness and stated claim boundary: `CORRECT`: estimated VO2max maintained but 3000 m slowed more in cross-training group; small off-season sample.","AI_SCREEN_LANE_1"
"SRC-PMID-17149987","RQ-C","","INCLUDE","Eligible evidence for RQ-C; use remains limited to the ledger directness and stated claim boundary: `CORRECT`: economy improved only at 18 km/h; no VO2max change; not microcycle evidence.","AI_SCREEN_LANE_1"
"SRC-PMID-20386477","RQ-B","RQ-C","INCLUDE","Eligible evidence for RQ-B; use remains limited to the ledger directness and stated claim boundary: `CORRECT`: jump performance fell up to 72 h while strength did not; outcome-specific, unfamiliar-protocol transfer only. | Indirect; intense plyometric bout; post 24 h 48 h 72 h 96 h 120 h; participant details limited in abstract.","AI_SCREEN_LANE_1"
"SRC-PMID-23134196","RQ-A","","INCLUDE","Eligible evidence for RQ-A; use remains limited to the ledger directness and stated claim boundary: `CORRECT`: small n=15 study favored BP on some indices; not 9.5-day running evidence.","AI_SCREEN_LANE_1"
"SRC-PMID-23838975","RQ-C","","INCLUDE","Eligible evidence for RQ-C; use remains limited to the ledger directness and stated claim boundary: `CORRECT`: 2.4 km, sprint and jump outcomes improved; supports component inclusion, not Formation timing. | Six weeks of added plyometrics improved 2.4 km sprint and jump outcomes; shared-day placement was not verified.","AI_SCREEN_LANE_1"
"SRC-PMID-25976398","RQ-E","RQ-F","INCLUDE","Eligible evidence for RQ-E; use remains limited to the ledger directness and stated claim boundary: `GUIDANCE_OK_WITH_CORRECTION`: useful reporting structure; not proof that ABAB/crossover is valid for cumulative training adaptations. | Official PubMed record links an erratum; reporting completeness does not establish design sufficiency safety or sport transfer.","AI_SCREEN_LANE_1"
"SRC-PMID-26084524","RQ-G","RQ-C;RQ-F","INCLUDE","Eligible evidence for RQ-G; use remains limited to the ledger directness and stated claim boundary: `CORRECT`: supports nonlinear development, health and sustainable participation boundaries; no Formation efficacy. | Broad healthy inclusive sustainable participation and safeguarding boundary","AI_SCREEN_LANE_1"
"SRC-PMID-27300278","RQ-A","","INCLUDE","Eligible evidence for RQ-A; use remains limited to the ledger directness and stated claim boundary: `CORRECT`: load-matched increasing/decreasing/mixed order showed no between-group adaptation difference.","AI_SCREEN_LANE_1"
"SRC-PMID-28054257","RQ-E","","INCLUDE","Eligible evidence for RQ-E; use remains limited to the ledger directness and stated claim boundary: `CORRECT`: reliability, validity, responsiveness and feasibility are separate; not a readiness threshold. | Taxonomy covers validity reliability responsiveness interpretability and feasibility; consensus does not validate a specific metric or set a universal n.","AI_SCREEN_LANE_1"
"SRC-PMID-28463642","RQ-D","RQ-E","INCLUDE","Eligible evidence for RQ-D; use remains limited to the ledger directness and stated claim boundary: `CORRECT`: internal/external load separation and multifactorial monitoring are supported; no readiness/safety authority. | Expert framework supports separate internal and external load taxonomy; no youth middle-distance validation or universal total. | Supports valid reliable consistent and contextual longitudinal monitoring; associations do not establish injury causation safety or a universal history.","AI_SCREEN_LANE_1"
"SRC-PMID-29163016","RQ-D","","INCLUDE","Eligible evidence for RQ-D; use remains limited to the ledger directness and stated claim boundary: `CORRECT`: supports named sRPE protocol/limitations; it does not make arbitrary load methods interchangeable or a fatigue score. | Review identified 36 modified-CR10 validation and reliability studies; heterogeneity limits direct youth runner transfer.","AI_SCREEN_LANE_1"
"SRC-PMID-29712629","RQ-D","RQ-E","INCLUDE","Eligible evidence for RQ-D; use remains limited to the ledger directness and stated claim boundary: `CORRECT`: device error/validity must precede change interpretation; device-specific transfer required.","AI_SCREEN_LANE_1"
"SRC-PMID-30131714","RQ-C","RQ-F;RQ-G","INCLUDE","Eligible evidence for RQ-C; use remains limited to the ledger directness and stated claim boundary: `CORRECT`: concurrent training was not universally harmful; heterogeneity blocks exact Formation sequencing. | Small athletic-performance effect but null cardiorespiratory and economy effects; sequence and separation were not meta-analyzed.","AI_SCREEN_LANE_1"
"SRC-PMID-30160557","RQ-D","RQ-F","INCLUDE","Eligible evidence for RQ-D; use remains limited to the ledger directness and stated claim boundary: `CORRECT`: timing materially changed values; protocol/timestamp must remain visible. | Direct timing evidence: 30-minute sRPE was 26.5% lower than immediate sRPE; timing is part of method identity.","AI_SCREEN_LANE_1"
"SRC-PMID-31024338","RQ-A","","INCLUDE","Eligible evidence for RQ-A; use remains limited to the ledger directness and stated claim boundary: `CORRECT`: successful 7-11-day HIT blocks are descriptive n=1 history, not causal or youth-running evidence.","AI_SCREEN_LANE_1"
"SRC-PMID-31802956","RQ-A","","INCLUDE","Eligible evidence for RQ-A; use remains limited to the ledger directness and stated claim boundary: `CORRECT`: small favorable VO2max/Wmax effects with low-quality small studies; no 9/9.5/10-day superiority. | Twenty eligible records and six pooled studies; small low-quality heterogeneous evidence; no 7-day versus nonweekly comparison. owner_target=9_5_DAY_AUTOMATED_PRESCRIPTION; runtime_authority=false","AI_SCREEN_LANE_1"
"SRC-PMID-31820260","RQ-B","RQ-D","INCLUDE","Eligible evidence for RQ-B; use remains limited to the ledger directness and stated claim boundary: `CORRECT`: external load alone poorly predicts all residual-fatigue outcomes; indirect to running and not a universal 72 h rule. | Indirect review; 11 studies n=165; external load associations mainly at acute and 24 h not 48-72 h.","AI_SCREEN_LANE_1"
"SRC-PMID-32407361","RQ-C","","INCLUDE","Eligible evidence for RQ-C; use remains limited to the ledger directness and stated claim boundary: `CORRECT`: order affected some power indices, not strength/lean mass/aerobic fitness; no universal ordering rule. | Cycling HIIT and resistance were separated about 3 h; broad adaptation was similar but explosive outcomes varied by order.","AI_SCREEN_LANE_1"
"SRC-PMID-32502973","RQ-D","","INCLUDE","Eligible evidence for RQ-D; use remains limited to the ledger directness and stated claim boundary: `CORRECT`: supports prohibition on causal injury-prevention/readiness use of ACWR. | Identifies ratio artifacts ambiguity and causal overinterpretation; supports descriptive method labeling and prohibits risk or action zones.","AI_SCREEN_LANE_1"
"SRC-PMID-32991706","RQ-D","","INCLUDE","Eligible evidence for RQ-D; use remains limited to the ledger directness and stated claim boundary: `CORRECT`: inconsistent load relationships and weak measurement-property evidence prohibit a single fatigue score.","AI_SCREEN_LANE_1"
"SRC-PMID-33122252","RQ-G","RQ-F","INCLUDE","Eligible evidence for RQ-G; use remains limited to the ledger directness and stated claim boundary: `CORRECT`: explicitly notes evidence gaps and opinion-based distance guidance; supports protection, not causal thresholds. | Core direct youth-runner boundary; no validated age-distance or clearance rule","AI_SCREEN_LANE_1"
"SRC-PMID-33751469","RQ-C","","INCLUDE","Eligible evidence for RQ-C; use remains limited to the ledger directness and stated claim boundary: `CORRECT`: same-session interference for some lower-body strength contexts is conditional on training status and design. | Trained adults showed lower strength development in same-session concurrent studies; study-defined under-20-min and over-2-h bins are not validated thresholds.","AI_SCREEN_LANE_1"
"SRC-PMID-34021488","RQ-A","RQ-F;RQ-G","INCLUDE","Eligible evidence for RQ-A; use remains limited to the ledger directness and stated claim boundary: `CORRECT`: supports separating 800 and 1500 demands; not direct evidence for adolescent 9.5-day safety/efficacy.","AI_SCREEN_LANE_1"
"SRC-PMID-34052983","RQ-D","RQ-G","INCLUDE","Eligible evidence for RQ-D; use remains limited to the ledger directness and stated claim boundary: `CORRECT`: an observational association study cannot validate a universal safe zone or causal threshold. | Higher ACWR associated inversely with injury and EWMA results were sparse; association is not a causal or product risk rule.","AI_SCREEN_LANE_1"
"SRC-PMID-34062089","RQ-A","RQ-C","INCLUDE","Eligible evidence for RQ-A; use remains limited to the ledger directness and stated claim boundary: `CORRECT`: supports lower volume plus retained/increased intensity in this tiny crossover; not a 9.5-day taper rule.","AI_SCREEN_LANE_1"
"SRC-PMID-34250468","RQ-F","RQ-G","INCLUDE","Eligible evidence for RQ-F; use remains limited to the ledger directness and stated claim boundary: `CORRECT`: injury frequency/practice description only; cannot generate safe-load or causal injury thresholds.","AI_SCREEN_LANE_1"
"SRC-PMID-34296839","RQ-B","RQ-C","INCLUDE","Eligible evidence for RQ-B; use remains limited to the ledger directness and stated claim boundary: `CORRECT`: selected jumps/sprint remained impaired at 48 h; small other-sport sample and unfamiliarity matter. | Indirect; n=9; combined session; performance soreness and CK at 24 h and 48 h.","AI_SCREEN_LANE_1"
"SRC-PMID-34749417","RQ-A","","INCLUDE","Eligible evidence for RQ-A; use remains limited to the ledger directness and stated claim boundary: `CORRECT`: classification method changes apparent TID; no exact session-spacing conclusion. | Twenty articles; materially heterogeneous intensity-distribution classifications; no microcycle-length comparison. owner_target=9_5_DAY_AUTOMATED_PRESCRIPTION; runtime_authority=false","AI_SCREEN_LANE_1"
"SRC-PMID-34767655","RQ-C","","INCLUDE","Eligible evidence for RQ-C; use remains limited to the ledger directness and stated claim boundary: `CORRECT`: 2 km performance improved; biomechanics mostly unchanged; not youth or same-day ordering evidence. | Concurrent training improved 2 km time and time to exhaustion; strength dose sequence and separation were unavailable in the abstract.","AI_SCREEN_LANE_1"
"SRC-PMID-35299664","RQ-A","","INCLUDE","Eligible evidence for RQ-A; use remains limited to the ledger directness and stated claim boundary: `CORRECT`: both improved and no time-trial/performance difference; counters universal BP superiority.","AI_SCREEN_LANE_1"
"SRC-PMID-35418513","RQ-A","","INCLUDE","Eligible evidence for RQ-A; use remains limited to the ledger directness and stated claim boundary: `CORRECT`: describes elite practice and hard/easy structures; does not compare adolescent 7 vs 9.5 vs 10 days. | Ten included articles; hard-day/easy-day periodization is indirect only; no direct cycle-length comparison. owner_target=9_5_DAY_AUTOMATED_PRESCRIPTION; runtime_authority=false","AI_SCREEN_LANE_1"
"SRC-PMID-35721873","RQ-B","","INCLUDE","Eligible evidence for RQ-B; use remains limited to the ledger directness and stated claim boundary: `CORRECT`: most selected measures were near baseline at 24 h but some changes remained; never a complete-recovery guarantee. | Runner direct but adult masters; six 800-m intervals; gait force and neuromuscular outcomes at post and 24 h.","AI_SCREEN_LANE_1"
"SRC-PMID-36086887","RQ-B","","EXCLUDE","Wrong source identity: this PMID is a front-crawl biomechanics study and is irrelevant to running recovery; the intended PMID is a different record.","AI_SCREEN_LANE_1"
"SRC-PMID-36370207","RQ-C","","INCLUDE","Eligible evidence for RQ-C; use remains limited to the ledger directness and stated claim boundary: `CORRECT`: compares component methods; no Formation interval evidence.","AI_SCREEN_LANE_1"
"SRC-PMID-37285051","RQ-B","","INCLUDE","Eligible evidence for RQ-B; use remains limited to the ledger directness and stated claim boundary: `QUALIFY`: selected measured functions recovered by 24 h; title/result cannot be generalized to whole-person recovery. | Indirect cycling; title wording retained only as bibliographic identity; selected 24 h and 48 h markers cannot establish complete recovery.","AI_SCREEN_LANE_1"
"SRC-PMID-37435592","RQ-C","RQ-F;RQ-G","INCLUDE","Eligible evidence for RQ-C; use remains limited to the ledger directness and stated claim boundary: `QUALIFY`: HIIT group improved 800 m/selected markers more; small male sample and biomarker changes do not establish recovery or safety.","AI_SCREEN_LANE_1"
"SRC-PMID-37752011","RQ-G","","INCLUDE","Eligible evidence for RQ-G; use remains limited to the ledger directness and stated claim boundary: `CORRECT_WITH_CORRECTION`: supports separate clinical expert boundary for energy availability/health; product must not diagnose REDs. | Correction-aware extraction; CAT2 is clinician-facing and must not be automated","AI_SCREEN_LANE_1"
"SRC-PMID-37776346","RQ-B","","INCLUDE","Eligible evidence for RQ-B; use remains limited to the ledger directness and stated claim boundary: `CORRECT_BUT_BAD_LINK`: 20% body-mass resisted sprints impaired selected sprint/EIMD measures through 72 h; not a universal interval or runner-youth rule. | Sprint-trained adult indirect; unresisted versus 10% and 20% body-mass resisted sprints; 24 h 48 h 72 h.","AI_SCREEN_LANE_1"
"SRC-PMID-38627351","RQ-C","","INCLUDE","Eligible evidence for RQ-C; use remains limited to the ledger directness and stated claim boundary: `CORRECT`: high-load/combined methods improved performance with very-low-to-moderate certainty; no Formation placement rule. | High-load and combined strength methods improved running performance but endurance-strength order and separation were not meta-analyzed.","AI_SCREEN_LANE_1"
"SRC-PMID-38662890","RQ-E","","INCLUDE","Eligible evidence for RQ-E; use remains limited to the ledger directness and stated claim boundary: `CORRECT`: distinguishes CV/SEM/SWC and individual change; supplies no universal minimum n. | Compares model statistic SWC CV and SEM in a narrow example; five sessions biweekly cadence and CV preference are not universal defaults.","AI_SCREEN_LANE_1"
"SRC-PMID-39197945","RQ-G","RQ-F","INCLUDE","Eligible evidence for RQ-G; use remains limited to the ledger directness and stated claim boundary: `CORRECT`: supports athlete-centred safeguards and asynchronous development; no automatic prescription authority. | Recent competition is context only and never recovery or readiness evidence","AI_SCREEN_LANE_1"
"SRC-PMID-39888556","RQ-A","","INCLUDE","Eligible evidence for RQ-A; use remains limited to the ledger directness and stated claim boundary: `CORRECT`: comparative average TID effects do not select a 9.5-day calendar or recovery interval. | No statistically significant polarized-versus-pyramidal difference in the abstract; not a cycle-length comparison. owner_target=9_5_DAY_AUTOMATED_PRESCRIPTION; runtime_authority=false","AI_SCREEN_LANE_1"
"SRC-PMID-40016936","RQ-C","","INCLUDE","Eligible evidence for RQ-C; use remains limited to the ledger directness and stated claim boundary: `CORRECT`: supports selected fatigued-state/economy outcomes, not a validated “neural fatigue” measure.","AI_SCREEN_LANE_1"
"SRC-PMID-40566441","RQ-E","RQ-F","INCLUDE","Eligible evidence for RQ-E; use remains limited to the ledger directness and stated claim boundary: `CORRECT`: demonstrates a sport SCED application and its generalization limits; not evidence for Formation efficacy. | Nonconcurrent multiple-baseline sport application shows individual paths; its phase durations are application details not universal n freshness efficacy or safety evidence.","AI_SCREEN_LANE_1"
"SRC-PMID-40596578","RQ-C","","INCLUDE","Eligible evidence for RQ-C; use remains limited to the ledger directness and stated claim boundary: `QUALIFY`: supports uphill-training performance adaptations in its sample; does not isolate neural-fatigue resistance or a Formation slot.","AI_SCREEN_LANE_1"
"SRC-PMID-41048235","RQ-B","RQ-F;RQ-G","INCLUDE","Eligible evidence for RQ-B; use remains limited to the ledger directness and stated claim boundary: `CORRECT`: IMTP peak force remained lower at 72 h, including a control-condition training effect; indirect to middle-distance running. | Youth/young-adult indirect; IMTP force at 48 h and 72 h; intervening MD+2 load prevents match-only inference.","AI_SCREEN_LANE_1"
"SRC-PMID-41312139","RQ-C","RQ-F;RQ-G","INCLUDE","Eligible evidence for RQ-C; use remains limited to the ledger directness and stated claim boundary: `CORRECT`: running economy/power outcomes favored complex training; male-only, no safety or 9.5-day inference. | Heavy resistance preceded matched plyometrics with 3-4 min recovery; endurance placement was not reported; no universal sequence inference.","AI_SCREEN_LANE_1"
"SRC-PMID-7649149","RQ-C","","INCLUDE","Eligible evidence for RQ-C; use remains limited to the ledger directness and stated claim boundary: `CORRECT`: aerobic transfer exists but mode-specific adaptation is greater; no recovery-equivalence claim.","AI_SCREEN_LANE_1"
"SRC-WEB-COCHRANE-HB-CH14","RQ-E","RQ-A;RQ-B;RQ-C;RQ-D;RQ-F;RQ-G","INCLUDE","Eligible evidence for RQ-E; use remains limited to the ledger directness and stated claim boundary: `GUIDANCE_OK`: GRADE domains are appropriate scaffolding; population/intervention directness for adolescent middle-distance runners must be added explicitly.","AI_SCREEN_LANE_1"
"SRC-WEB-HHS-HIPAA-DEID","RQ-D","RQ-G","INCLUDE","Eligible evidence for RQ-D; use remains limited to the ledger directness and stated claim boundary: `GUIDANCE_OK`: supports Expert Determination/Safe Harbor and residual re-identification risk; it is not a universal global privacy rule.","AI_SCREEN_LANE_1"
"SRC-WEB-PRISMA-2020","RQ-F","","INCLUDE","Eligible evidence for RQ-F; use remains limited to the ledger directness and stated claim boundary: `GUIDANCE_OK`: appropriate for transparent search/exclusion reporting; does not itself appraise sports evidence.","AI_SCREEN_LANE_1"
