source_id,primary_rq,secondary_rqs,lane_1_decision,lane_1_reason,lane_2_decision,lane_2_reason,adjudication,adjudication_reason,human_confirmation,full_text_eligibility
SRC-PMID-17149987,RQ-C,,INCLUDE,Eligible evidence for RQ-C; use remains limited to the ledger directness and stated claim boundary: `CORRECT`: economy improved only at 18 km/h; no VO2max change; not microcycle evidence.,INCLUDE,Adult runner plyometric trial supports component outcomes only; abstract and missing maturity block scheduling transfer,INCLUDE,AI lanes agree; human-trained confirmation remains required,PENDING_HUMAN,ABSTRACT_LIMITED
SRC-PMID-20386477,RQ-B,RQ-C,INCLUDE,"Eligible evidence for RQ-B; use remains limited to the ledger directness and stated claim boundary: `CORRECT`: jump performance fell up to 72 h while strength did not; outcome-specific, unfamiliar-protocol transfer only. | Indirect; intense plyometric bout; post 24 h 48 h 72 h 96 h 120 h; participant details limited in abstract.",INCLUDE,Acute plyometric study supports outcome-specific 24-120 h kinetics; abstract population detail is limited,INCLUDE,AI lanes agree; human-trained confirmation remains required,PENDING_HUMAN,ABSTRACT_LIMITED
SRC-PMID-23134196,RQ-A,,INCLUDE,Eligible evidence for RQ-A; use remains limited to the ledger directness and stated claim boundary: `CORRECT`: small n=15 study favored BP on some indices; not 9.5-day running evidence.,INCLUDE,Small adult cyclist block trial informs periodization countercontext only; not nonweekly running-frame evidence,INCLUDE,AI lanes agree; human-trained confirmation remains required,PENDING_HUMAN,ABSTRACT_LIMITED
SRC-PMID-23838975,RQ-C,,INCLUDE,"Eligible evidence for RQ-C; use remains limited to the ledger directness and stated claim boundary: `CORRECT`: 2.4 km, sprint and jump outcomes improved; supports component inclusion, not Formation timing. | Six weeks of added plyometrics improved 2.4 km sprint and jump outcomes; shared-day placement was not verified.",INCLUDE,Competitive-runner trial supports added plyometric component outcomes; abstract does not verify shared-day placement,INCLUDE,AI lanes agree; human-trained confirmation remains required,PENDING_HUMAN,ABSTRACT_LIMITED
SRC-PMID-25976398,RQ-E,RQ-F,INCLUDE,Eligible evidence for RQ-E; use remains limited to the ledger directness and stated claim boundary: `GUIDANCE_OK_WITH_CORRECTION`: useful reporting structure; not proof that ABAB/crossover is valid for cumulative training adaptations. | Official PubMed record links an erratum; reporting completeness does not establish design sufficiency safety or sport transfer.,INCLUDE,CENT statement is eligible with linked erratum applied; reporting completeness does not establish design validity,INCLUDE,AI lanes agree; human-trained confirmation remains required,PENDING_HUMAN,EXCLUDED_IDENTITY_OR_CORRECTION
SRC-PMID-26084524,RQ-G,RQ-C;RQ-F,INCLUDE,"Eligible evidence for RQ-G; use remains limited to the ledger directness and stated claim boundary: `CORRECT`: supports nonlinear development, health and sustainable participation boundaries; no Formation efficacy. | Broad healthy inclusive sustainable participation and safeguarding boundary",INCLUDE,IOC youth consensus supports growth health and sustainable-participation boundaries; no Formation efficacy,INCLUDE,AI lanes agree; human-trained confirmation remains required,PENDING_HUMAN,ELIGIBLE_FULL_TEXT
SRC-PMID-27300278,RQ-A,,INCLUDE,Eligible evidence for RQ-A; use remains limited to the ledger directness and stated claim boundary: `CORRECT`: load-matched increasing/decreasing/mixed order showed no between-group adaptation difference.,INCLUDE,Adult cycling trial supplies counterevidence against universal intensity-order effects; not cycle-length evidence,INCLUDE,AI lanes agree; human-trained confirmation remains required,PENDING_HUMAN,ABSTRACT_LIMITED
SRC-PMID-28054257,RQ-E,RQ-D,INCLUDE,"Eligible evidence for RQ-E; use remains limited to the ledger directness and stated claim boundary: `CORRECT`: reliability, validity, responsiveness and feasibility are separate; not a readiness threshold. | Taxonomy covers validity reliability responsiveness interpretability and feasibility; consensus does not validate a specific metric or set a universal n.",INCLUDE,Measurement-property Delphi separates reliability validity responsiveness and feasibility; no metric validation or universal n,INCLUDE,AI lanes agree; human-trained confirmation remains required,PENDING_HUMAN,ELIGIBLE_FULL_TEXT
SRC-PMID-28463642,RQ-D,RQ-E,INCLUDE,Eligible evidence for RQ-D; use remains limited to the ledger directness and stated claim boundary: `CORRECT`: internal/external load separation and multifactorial monitoring are supported; no readiness/safety authority. | Expert framework supports separate internal and external load taxonomy; no youth middle-distance validation or universal total. | Supports valid reliable consistent and contextual longitudinal monitoring; associations do not establish injury causation safety or a universal history.,INCLUDE,Consensus supports separate internal and external load taxonomy; abstract cannot confer readiness or safety authority,INCLUDE,AI lanes agree; human-trained confirmation remains required,PENDING_HUMAN,ABSTRACT_LIMITED
SRC-PMID-29163016,RQ-D,,INCLUDE,Eligible evidence for RQ-D; use remains limited to the ledger directness and stated claim boundary: `CORRECT`: supports named sRPE protocol/limitations; it does not make arbitrary load methods interchangeable or a fatigue score. | Review identified 36 modified-CR10 validation and reliability studies; heterogeneity limits direct youth runner transfer.,INCLUDE,sRPE review supports named protocol and limitations; heterogeneity blocks fatigue-score or interchangeability claims,INCLUDE,AI lanes agree; human-trained confirmation remains required,PENDING_HUMAN,ELIGIBLE_FULL_TEXT
SRC-PMID-29712629,RQ-D,RQ-E,INCLUDE,Eligible evidence for RQ-D; use remains limited to the ledger directness and stated claim boundary: `CORRECT`: device error/validity must precede change interpretation; device-specific transfer required.,INCLUDE,Wearable assessment guidance supports device-specific validity before change interpretation; no athlete-state inference,INCLUDE,AI lanes agree; human-trained confirmation remains required,PENDING_HUMAN,ELIGIBLE_FULL_TEXT
SRC-PMID-30131714,RQ-C,RQ-F;RQ-G,INCLUDE,Eligible evidence for RQ-C; use remains limited to the ledger directness and stated claim boundary: `CORRECT`: concurrent training was not universally harmful; heterogeneity blocks exact Formation sequencing. | Small athletic-performance effect but null cardiorespiratory and economy effects; sequence and separation were not meta-analyzed.,INCLUDE,Youth concurrent-training review supports conditional component compatibility; heterogeneity blocks exact sequencing,INCLUDE,AI lanes agree; human-trained confirmation remains required,PENDING_HUMAN,ELIGIBLE_FULL_TEXT
SRC-PMID-30160557,RQ-D,RQ-F,INCLUDE,Eligible evidence for RQ-D; use remains limited to the ledger directness and stated claim boundary: `CORRECT`: timing materially changed values; protocol/timestamp must remain visible. | Direct timing evidence: 30-minute sRPE was 26.5% lower than immediate sRPE; timing is part of method identity.,INCLUDE,Direct adolescent-runner study supports timestamp as method identity; abstract-only and not a readiness validator,INCLUDE,AI lanes agree; human-trained confirmation remains required,PENDING_HUMAN,ABSTRACT_LIMITED
SRC-PMID-31024338,RQ-A,,INCLUDE,"Eligible evidence for RQ-A; use remains limited to the ledger directness and stated claim boundary: `CORRECT`: successful 7-11-day HIT blocks are descriptive n=1 history, not causal or youth-running evidence.",INCLUDE,Elite adult skiing n-of-1 history supports descriptive block use only; not causal or youth-running evidence,INCLUDE,AI lanes agree; human-trained confirmation remains required,PENDING_HUMAN,ELIGIBLE_FULL_TEXT
SRC-PMID-31802956,RQ-A,,INCLUDE,Eligible evidence for RQ-A; use remains limited to the ledger directness and stated claim boundary: `CORRECT`: small favorable VO2max/Wmax effects with low-quality small studies; no 9/9.5/10-day superiority. | Twenty eligible records and six pooled studies; small low-quality heterogeneous evidence; no 7-day versus nonweekly comparison. owner_target=9_5_DAY_AUTOMATED_PRESCRIPTION; runtime_authority=false,INCLUDE,Endurance block review supplies low-certainty comparative context; no nonweekly-frame or 9.5-day superiority,INCLUDE,AI lanes agree; human-trained confirmation remains required,PENDING_HUMAN,ELIGIBLE_FULL_TEXT
SRC-PMID-31820260,RQ-B,RQ-D,INCLUDE,Eligible evidence for RQ-B; use remains limited to the ledger directness and stated claim boundary: `CORRECT`: external load alone poorly predicts all residual-fatigue outcomes; indirect to running and not a universal 72 h rule. | Indirect review; 11 studies n=165; external load associations mainly at acute and 24 h not 48-72 h.,INCLUDE,Soccer review supports weak external-load prediction of residual outcomes; indirect and no 72-h rule,INCLUDE,AI lanes agree; human-trained confirmation remains required,PENDING_HUMAN,ELIGIBLE_FULL_TEXT
SRC-PMID-32407361,RQ-C,,INCLUDE,"Eligible evidence for RQ-C; use remains limited to the ledger directness and stated claim boundary: `CORRECT`: order affected some power indices, not strength/lean mass/aerobic fitness; no universal ordering rule. | Cycling HIIT and resistance were separated about 3 h; broad adaptation was similar but explosive outcomes varied by order.",INCLUDE,Adult same-day trial supports outcome-specific order effects with 3-h separation; no universal or youth rule,INCLUDE,AI lanes agree; human-trained confirmation remains required,PENDING_HUMAN,ELIGIBLE_FULL_TEXT
SRC-PMID-32502973,RQ-D,,INCLUDE,Eligible evidence for RQ-D; use remains limited to the ledger directness and stated claim boundary: `CORRECT`: supports prohibition on causal injury-prevention/readiness use of ACWR. | Identifies ratio artifacts ambiguity and causal overinterpretation; supports descriptive method labeling and prohibits risk or action zones.,INCLUDE,ACWR methods critique supports prohibiting causal injury and readiness use; abstract-only and nonprescriptive,INCLUDE,AI lanes agree; human-trained confirmation remains required,PENDING_HUMAN,ABSTRACT_LIMITED
SRC-PMID-32991706,RQ-D,,INCLUDE,Eligible evidence for RQ-D; use remains limited to the ledger directness and stated claim boundary: `CORRECT`: inconsistent load relationships and weak measurement-property evidence prohibit a single fatigue score.,INCLUDE,Team-sport wellbeing review supports weak and inconsistent single-item evidence; no unified fatigue score,INCLUDE,AI lanes agree; human-trained confirmation remains required,PENDING_HUMAN,ELIGIBLE_FULL_TEXT
SRC-PMID-33122252,RQ-G,RQ-F,INCLUDE,"Eligible evidence for RQ-G; use remains limited to the ledger directness and stated claim boundary: `CORRECT`: explicitly notes evidence gaps and opinion-based distance guidance; supports protection, not causal thresholds. | Core direct youth-runner boundary; no validated age-distance or clearance rule",INCLUDE,Direct youth-running consensus supports evidence-gap and protection boundaries; opinion guidance is not clearance,INCLUDE,AI lanes agree; human-trained confirmation remains required,PENDING_HUMAN,ELIGIBLE_FULL_TEXT
SRC-PMID-33751469,RQ-C,,INCLUDE,Eligible evidence for RQ-C; use remains limited to the ledger directness and stated claim boundary: `CORRECT`: same-session interference for some lower-body strength contexts is conditional on training status and design. | Trained adults showed lower strength development in same-session concurrent studies; study-defined under-20-min and over-2-h bins are not validated thresholds.,INCLUDE,Adult concurrent-training review supports conditional same-session strength interference; bins are not youth thresholds,INCLUDE,AI lanes agree; human-trained confirmation remains required,PENDING_HUMAN,ELIGIBLE_FULL_TEXT
SRC-PMID-34021488,RQ-A,RQ-F;RQ-G,INCLUDE,Eligible evidence for RQ-A; use remains limited to the ledger directness and stated claim boundary: `CORRECT`: supports separating 800 and 1500 demands; not direct evidence for adolescent 9.5-day safety/efficacy.,INCLUDE,Elite 800 and 1500 review supports event-demand separation; not adolescent 9.5-day efficacy or safety evidence,INCLUDE,AI lanes agree; human-trained confirmation remains required,PENDING_HUMAN,ELIGIBLE_FULL_TEXT
SRC-PMID-34052983,RQ-D,RQ-G,INCLUDE,Eligible evidence for RQ-D; use remains limited to the ledger directness and stated claim boundary: `CORRECT`: an observational association study cannot validate a universal safe zone or causal threshold. | Higher ACWR associated inversely with injury and EWMA results were sparse; association is not a causal or product risk rule.,INCLUDE,Adult runner ACWR association is retained as counterevidence; abstract cannot validate causal safe zones,INCLUDE,AI lanes agree; human-trained confirmation remains required,PENDING_HUMAN,ABSTRACT_LIMITED
SRC-PMID-34062089,RQ-A,RQ-C,INCLUDE,Eligible evidence for RQ-A; use remains limited to the ledger directness and stated claim boundary: `CORRECT`: supports lower volume plus retained/increased intensity in this tiny crossover; not a 9.5-day taper rule.,INCLUDE,Tiny 1500-m taper crossover informs taper components only; abstract cannot set a 9.5-day taper rule,INCLUDE,AI lanes agree; human-trained confirmation remains required,PENDING_HUMAN,ABSTRACT_LIMITED
SRC-PMID-34250468,RQ-F,RQ-G,INCLUDE,Eligible evidence for RQ-F; use remains limited to the ledger directness and stated claim boundary: `CORRECT`: injury frequency/practice description only; cannot generate safe-load or causal injury thresholds.,INCLUDE,Direct adolescent-runner observational evidence supports practice and injury context only; no causal thresholds,INCLUDE,AI disagreement or RQ mismatch deferred to human-trained adjudication,PENDING_HUMAN,ELIGIBLE_FULL_TEXT
SRC-PMID-34296839,RQ-B,RQ-C,INCLUDE,Eligible evidence for RQ-B; use remains limited to the ledger directness and stated claim boundary: `CORRECT`: selected jumps/sprint remained impaired at 48 h; small other-sport sample and unfamiliarity matter. | Indirect; n=9; combined session; performance soreness and CK at 24 h and 48 h.,INCLUDE,Small adult team-sport study supports selected 24-48 h residuals; abstract and modality limit transfer,INCLUDE,AI lanes agree; human-trained confirmation remains required,PENDING_HUMAN,ABSTRACT_LIMITED
SRC-PMID-34749417,RQ-A,,INCLUDE,Eligible evidence for RQ-A; use remains limited to the ledger directness and stated claim boundary: `CORRECT`: classification method changes apparent TID; no exact session-spacing conclusion. | Twenty articles; materially heterogeneous intensity-distribution classifications; no microcycle-length comparison. owner_target=9_5_DAY_AUTOMATED_PRESCRIPTION; runtime_authority=false,INCLUDE,Runner intensity-distribution review supports classification sensitivity; no microcycle-length comparison,INCLUDE,AI lanes agree; human-trained confirmation remains required,PENDING_HUMAN,ABSTRACT_LIMITED
SRC-PMID-34767655,RQ-C,,INCLUDE,Eligible evidence for RQ-C; use remains limited to the ledger directness and stated claim boundary: `CORRECT`: 2 km performance improved; biomechanics mostly unchanged; not youth or same-day ordering evidence. | Concurrent training improved 2 km time and time to exhaustion; strength dose sequence and separation were unavailable in the abstract.,INCLUDE,Adult runner concurrent trial supports performance outcomes only; abstract lacks dose order and separation,INCLUDE,AI lanes agree; human-trained confirmation remains required,PENDING_HUMAN,ABSTRACT_LIMITED
SRC-PMID-35299664,RQ-A,,INCLUDE,Eligible evidence for RQ-A; use remains limited to the ledger directness and stated claim boundary: `CORRECT`: both improved and no time-trial/performance difference; counters universal BP superiority.,INCLUDE,Adult cycling trial counters universal block-periodization superiority; no nonweekly running-frame evidence,INCLUDE,AI lanes agree; human-trained confirmation remains required,PENDING_HUMAN,ELIGIBLE_FULL_TEXT
SRC-PMID-35418513,RQ-A,,INCLUDE,Eligible evidence for RQ-A; use remains limited to the ledger directness and stated claim boundary: `CORRECT`: describes elite practice and hard/easy structures; does not compare adolescent 7 vs 9.5 vs 10 days. | Ten included articles; hard-day/easy-day periodization is indirect only; no direct cycle-length comparison. owner_target=9_5_DAY_AUTOMATED_PRESCRIPTION; runtime_authority=false,INCLUDE,Elite runner review supports descriptive hard-easy practice only; abstract has no cycle-length comparison,INCLUDE,AI lanes agree; human-trained confirmation remains required,PENDING_HUMAN,ABSTRACT_LIMITED
SRC-PMID-35721873,RQ-B,,INCLUDE,Eligible evidence for RQ-B; use remains limited to the ledger directness and stated claim boundary: `CORRECT`: most selected measures were near baseline at 24 h but some changes remained; never a complete-recovery guarantee. | Runner direct but adult masters; six 800-m intervals; gait force and neuromuscular outcomes at post and 24 h.,INCLUDE,Adult masters runner study supports marker-specific 24-h residuals; no complete-recovery guarantee,INCLUDE,AI lanes agree; human-trained confirmation remains required,PENDING_HUMAN,ELIGIBLE_FULL_TEXT
SRC-PMID-36086887,RQ-B,,EXCLUDE,Wrong source identity: this PMID is a front-crawl biomechanics study and is irrelevant to running recovery; the intended PMID is a different record.,EXCLUDE,Identifier resolves to an irrelevant swimming study and the intended running source is not this record,EXCLUDE,AI lanes agree; human-trained confirmation remains required,PENDING_HUMAN,ABSTRACT_LIMITED
SRC-PMID-36370207,RQ-C,,INCLUDE,Eligible evidence for RQ-C; use remains limited to the ledger directness and stated claim boundary: `CORRECT`: compares component methods; no Formation interval evidence.,INCLUDE,Adult runner strength meta-analysis compares component methods; no Formation interval or placement evidence,INCLUDE,AI lanes agree; human-trained confirmation remains required,PENDING_HUMAN,ELIGIBLE_FULL_TEXT
SRC-PMID-37285051,RQ-B,,INCLUDE,Eligible evidence for RQ-B; use remains limited to the ledger directness and stated claim boundary: `QUALIFY`: selected measured functions recovered by 24 h; title/result cannot be generalized to whole-person recovery. | Indirect cycling; title wording retained only as bibliographic identity; selected 24 h and 48 h markers cannot establish complete recovery.,INCLUDE,Adult cycling SIT study supports selected marker kinetics only; title cannot establish whole-person recovery,INCLUDE,AI lanes agree; human-trained confirmation remains required,PENDING_HUMAN,ABSTRACT_LIMITED
SRC-PMID-37435592,RQ-C,RQ-F;RQ-G,INCLUDE,Eligible evidence for RQ-C; use remains limited to the ledger directness and stated claim boundary: `QUALIFY`: HIIT group improved 800 m/selected markers more; small male sample and biomarker changes do not establish recovery or safety.,INCLUDE,Small adolescent male 800-m trial supports component outcomes; no recovery safety or architecture inference,INCLUDE,AI lanes agree; human-trained confirmation remains required,PENDING_HUMAN,ELIGIBLE_FULL_TEXT
SRC-PMID-37752011,RQ-G,,INCLUDE,Eligible evidence for RQ-G; use remains limited to the ledger directness and stated claim boundary: `CORRECT_WITH_CORRECTION`: supports separate clinical expert boundary for energy availability/health; product must not diagnose REDs. | Correction-aware extraction; CAT2 is clinician-facing and must not be automated,INCLUDE,Corrected IOC REDs consensus supports clinician-only energy-health boundary; CAT2 must not be automated,INCLUDE,AI lanes agree; human-trained confirmation remains required,PENDING_HUMAN,EXCLUDED_IDENTITY_OR_CORRECTION
SRC-PMID-37776346,RQ-B,,INCLUDE,Eligible evidence for RQ-B; use remains limited to the ledger directness and stated claim boundary: `CORRECT_BUT_BAD_LINK`: 20% body-mass resisted sprints impaired selected sprint/EIMD measures through 72 h; not a universal interval or runner-youth rule. | Sprint-trained adult indirect; unresisted versus 10% and 20% body-mass resisted sprints; 24 h 48 h 72 h.,INCLUDE,Adult sprint study supports load-specific 24-72 h outcomes; bad link noted and no youth-runner threshold,INCLUDE,AI lanes agree; human-trained confirmation remains required,PENDING_HUMAN,ELIGIBLE_FULL_TEXT
SRC-PMID-38627351,RQ-C,,INCLUDE,Eligible evidence for RQ-C; use remains limited to the ledger directness and stated claim boundary: `CORRECT`: high-load/combined methods improved performance with very-low-to-moderate certainty; no Formation placement rule. | High-load and combined strength methods improved running performance but endurance-strength order and separation were not meta-analyzed.,INCLUDE,Runner strength meta-analysis supports selected component outcomes; certainty and missing placement block calendar rules,INCLUDE,AI lanes agree; human-trained confirmation remains required,PENDING_HUMAN,ELIGIBLE_FULL_TEXT
SRC-PMID-38662890,RQ-E,,INCLUDE,Eligible evidence for RQ-E; use remains limited to the ledger directness and stated claim boundary: `CORRECT`: distinguishes CV/SEM/SWC and individual change; supplies no universal minimum n. | Compares model statistic SWC CV and SEM in a narrow example; five sessions biweekly cadence and CV preference are not universal defaults.,INCLUDE,Practitioner methods paper distinguishes error and change statistics; abstract supplies no universal minimum n,INCLUDE,AI lanes agree; human-trained confirmation remains required,PENDING_HUMAN,ABSTRACT_LIMITED
SRC-PMID-39197945,RQ-G,RQ-F,INCLUDE,Eligible evidence for RQ-G; use remains limited to the ledger directness and stated claim boundary: `CORRECT`: supports athlete-centred safeguards and asynchronous development; no automatic prescription authority. | Recent competition is context only and never recovery or readiness evidence,INCLUDE,IOC elite-youth consensus supports athlete-centred maturation safeguards; no automated prescription authority,INCLUDE,AI lanes agree; human-trained confirmation remains required,PENDING_HUMAN,ELIGIBLE_FULL_TEXT
SRC-PMID-39888556,RQ-A,,INCLUDE,Eligible evidence for RQ-A; use remains limited to the ledger directness and stated claim boundary: `CORRECT`: comparative average TID effects do not select a 9.5-day calendar or recovery interval. | No statistically significant polarized-versus-pyramidal difference in the abstract; not a cycle-length comparison. owner_target=9_5_DAY_AUTOMATED_PRESCRIPTION; runtime_authority=false,INCLUDE,Endurance network meta-analysis informs average intensity-distribution comparisons; not a 9.5-day frame test,INCLUDE,AI lanes agree; human-trained confirmation remains required,PENDING_HUMAN,ABSTRACT_LIMITED
SRC-PMID-40016936,RQ-C,,INCLUDE,"Eligible evidence for RQ-C; use remains limited to the ledger directness and stated claim boundary: `CORRECT`: supports selected fatigued-state/economy outcomes, not a validated “neural fatigue” measure.",INCLUDE,Adult male runner trial supports selected strength and fatigued-state outcomes; abstract does not measure neural fatigue,INCLUDE,AI lanes agree; human-trained confirmation remains required,PENDING_HUMAN,ABSTRACT_LIMITED
SRC-PMID-40566441,RQ-E,RQ-F,INCLUDE,Eligible evidence for RQ-E; use remains limited to the ledger directness and stated claim boundary: `CORRECT`: demonstrates a sport SCED application and its generalization limits; not evidence for Formation efficacy. | Nonconcurrent multiple-baseline sport application shows individual paths; its phase durations are application details not universal n freshness efficacy or safety evidence.,INCLUDE,Sport multiple-baseline application supports individual-path methodology; phase details are not universal rules,INCLUDE,AI lanes agree; human-trained confirmation remains required,PENDING_HUMAN,ELIGIBLE_FULL_TEXT
SRC-PMID-40596578,RQ-C,,INCLUDE,Eligible evidence for RQ-C; use remains limited to the ledger directness and stated claim boundary: `QUALIFY`: supports uphill-training performance adaptations in its sample; does not isolate neural-fatigue resistance or a Formation slot.,INCLUDE,Middle-distance uphill trial supports component adaptation in its sample; no neural-fatigue or Formation-slot inference,INCLUDE,AI lanes agree; human-trained confirmation remains required,PENDING_HUMAN,ELIGIBLE_FULL_TEXT
SRC-PMID-41048235,RQ-B,RQ-F;RQ-G,INCLUDE,"Eligible evidence for RQ-B; use remains limited to the ledger directness and stated claim boundary: `CORRECT`: IMTP peak force remained lower at 72 h, including a control-condition training effect; indirect to middle-distance running. | Youth/young-adult indirect; IMTP force at 48 h and 72 h; intervening MD+2 load prevents match-only inference.",INCLUDE,Youth soccer evidence supports residual force context; intervening load blocks match-only and running inference,INCLUDE,AI lanes agree; human-trained confirmation remains required,PENDING_HUMAN,ELIGIBLE_FULL_TEXT
SRC-PMID-41312139,RQ-C,RQ-F;RQ-G,INCLUDE,"Eligible evidence for RQ-C; use remains limited to the ledger directness and stated claim boundary: `CORRECT`: running economy/power outcomes favored complex training; male-only, no safety or 9.5-day inference. | Heavy resistance preceded matched plyometrics with 3-4 min recovery; endurance placement was not reported; no universal sequence inference.",INCLUDE,Direct adolescent-runner trial supports one complex-training arrangement; male-only and scheduling details limit transfer,INCLUDE,AI lanes agree; human-trained confirmation remains required,PENDING_HUMAN,ELIGIBLE_FULL_TEXT
SRC-PMID-7649149,RQ-C,,INCLUDE,Eligible evidence for RQ-C; use remains limited to the ledger directness and stated claim boundary: `CORRECT`: aerobic transfer exists but mode-specific adaptation is greater; no recovery-equivalence claim.,INCLUDE,Adult cross-training trial supports partial aerobic transfer and mode specificity; abstract gives no recovery equivalence,INCLUDE,AI lanes agree; human-trained confirmation remains required,PENDING_HUMAN,ABSTRACT_LIMITED
SRC-WEB-COCHRANE-HB-CH14,RQ-E,RQ-A;RQ-B;RQ-C;RQ-D;RQ-F;RQ-G,INCLUDE,Eligible evidence for RQ-E; use remains limited to the ledger directness and stated claim boundary: `GUIDANCE_OK`: GRADE domains are appropriate scaffolding; population/intervention directness for adolescent middle-distance runners must be added explicitly.,INCLUDE,GRADE guidance supports transparent certainty appraisal across RQs; athlete directness must be added separately,INCLUDE,AI lanes agree; human-trained confirmation remains required,PENDING_HUMAN,ELIGIBLE_FULL_TEXT
SRC-WEB-HHS-HIPAA-DEID,RQ-D,RQ-G,INCLUDE,Eligible evidence for RQ-D; use remains limited to the ledger directness and stated claim boundary: `GUIDANCE_OK`: supports Expert Determination/Safe Harbor and residual re-identification risk; it is not a universal global privacy rule.,INCLUDE,US de-identification guidance supports residual privacy-risk safeguards; it is not a global rule,INCLUDE,AI disagreement or RQ mismatch deferred to human-trained adjudication,PENDING_HUMAN,ELIGIBLE_FULL_TEXT
SRC-WEB-PRISMA-2020,RQ-F,,INCLUDE,Eligible evidence for RQ-F; use remains limited to the ledger directness and stated claim boundary: `GUIDANCE_OK`: appropriate for transparent search/exclusion reporting; does not itself appraise sports evidence.,INCLUDE,PRISMA supports transparent search and exclusion reporting; it does not appraise sports evidence,INCLUDE,AI lanes agree; human-trained confirmation remains required,PENDING_HUMAN,ELIGIBLE_FULL_TEXT
