candidate_id,rq,title,year,source_type,doi,pmid,url,target_population,directness,canonical_match,screening_state,extraction_state,appraisal_state,permitted_use,prohibited_use,source_trace
FRV2-SUP-A-001,RQ-A,Individualized Endurance Training Based on Recovery and Training Status in Recreational Runners.,2022,RANDOMIZED_GROUP_TRIAL,10.1249/MSS.0000000000002968,35975912,https://pubmed.ncbi.nlm.nih.gov/35975912/,adult_recreational_runners,ADULT_RUNNER_INDIRECT,NOT_FOUND_BY_DOI,PENDING_HUMAN_SCREENING,PENDING,PENDING,individualized_adjustment_feasibility,9_5_day_or_youth_efficacy,.omo/evidence/formation-research-v2/nonweekly-cycle-primary-research.md
FRV2-SUP-A-002,RQ-A,A four-season study quantifying the weekly external training loads during different between match microcycle lengths in professional rugby league.,2022,OBSERVATIONAL_COHORT,10.1371/journal.pone.0263093,35100267,https://pubmed.ncbi.nlm.nih.gov/35100267/,adult_professional_rugby,SPORT_INDIRECT,NOT_FOUND_BY_DOI,PENDING_HUMAN_SCREENING,PENDING,PENDING,calendar_length_changes_training_distribution,runner_cycle_superiority_or_causality,.omo/evidence/formation-research-v2/nonweekly-cycle-primary-research.md
FRV2-SUP-A-003,RQ-A,"Effect of training day, match, and length of the microcycle on workload periodization in professional soccer players: a full-season study.",2022,OBSERVATIONAL_COHORT,10.5114/biolsport.2022.106148,35309541,https://pubmed.ncbi.nlm.nih.gov/35309541/,adult_professional_soccer,SPORT_INDIRECT,NOT_FOUND_BY_DOI,PENDING_HUMAN_SCREENING,PENDING,PENDING,match_spacing_context,7_day_vs_9_5_day_runner_effectiveness,.omo/evidence/formation-research-v2/nonweekly-cycle-primary-research.md
FRV2-SUP-C-001,RQ-B;RQ-C;RQ-K,Repeated sprint training induces prolonged residual fatigue compared to other high-intensity interval training modalities in middle-distance runners.,2026,RANDOMIZED_CROSSOVER,10.5114/biolsport.2026.156227,41994354,https://pubmed.ncbi.nlm.nih.gov/41994354/,young_adult_male_middle_distance_runners,DIRECT_ADULT_MIDDLE_DISTANCE,NOT_FOUND_BY_DOI,PENDING_HUMAN_SCREENING,PENDING,PENDING,modality_specific_24_48h_response,48h_or_72h_clearance_rule,.omo/evidence/formation-research-v2/competition-anchor-primary-research.md
FRV2-SUP-E-001,RQ-E,Quantification Method and Training Load Changes in High School Cross-Country Runners Across a Competitive Season.,2022,CASE_SERIES,10.4085/1062-6050-523-21,34902855,https://pubmed.ncbi.nlm.nih.gov/34902855/,high_school_cross_country_runners,DIRECT_YOUTH_DISTANCE,NOT_FOUND_BY_DOI,PENDING_HUMAN_SCREENING,PENDING,PENDING,load_representation_and_missingness_context,personal_causal_effect_or_freshness_threshold,.omo/evidence/formation-research-v2/within-athlete-minimum-evidence-primary-research.md
FRV2-SUP-E-002,RQ-E,Superior Adaptations in Adolescent Runners Using Heart Rate Variability (HRV)-Guided Training at Altitude.,2021,MATCHED_GROUP_PILOT,10.3390/bios11030077,33799558,https://pubmed.ncbi.nlm.nih.gov/33799558/,youth_middle_and_long_distance_runners,DIRECT_YOUTH_DISTANCE,NOT_FOUND_BY_DOI,PENDING_HUMAN_SCREENING,PENDING,PENDING,short_term_guided_training_feasibility,universal_hrv_threshold_or_9_5_day_effect,.omo/evidence/formation-research-v2/within-athlete-minimum-evidence-primary-research.md
FRV2-SUP-E-003,RQ-E,Determining the Effects of a 6-Week Training Intervention on Reactive Strength: A Single-Case Experimental Design Approach.,2025,NONCONCURRENT_MULTIPLE_BASELINE,10.3390/jfmk10020191,40566441,https://pubmed.ncbi.nlm.nih.gov/40566441/,adult_recreational_males,DIRECT_SPORT,LIKELY_CANONICAL_DUPLICATE,PENDING_DUPLICATE_CONFIRMATION,PENDING,PENDING,sced_feasibility_and_individual_heterogeneity,universal_minimum_n_or_youth_transfer,.omo/evidence/formation-research-v2/within-athlete-minimum-evidence-primary-research.md
FRV2-SUP-K-001,RQ-K,Physiological and performance responses to a 6-day taper in middle-distance runners: influence of training frequency.,2002,SMALL_PARALLEL_TRIAL,10.1055/s-2002-33146,12165889,https://pubmed.ncbi.nlm.nih.gov/12165889/,adult_male_middle_distance_runners,DIRECT_ADULT_MIDDLE_DISTANCE,NOT_FOUND_BY_DOI,PENDING_HUMAN_SCREENING,PENDING,PENDING,taper_component_candidate,universal_6_day_taper_or_frequency_rule,.omo/evidence/formation-research-v2/competition-anchor-primary-research.md
FRV2-SUP-K-002,RQ-K,Tapering strategies in elite British endurance runners.,2015,OBSERVATIONAL_SURVEY_LOG,10.1080/17461391.2014.955128,25189116,https://pubmed.ncbi.nlm.nih.gov/25189116/,elite_adult_endurance_runners_including_800_1500,DIRECT_ADULT_PRACTICE,NOT_FOUND_BY_DOI,PENDING_HUMAN_SCREENING,PENDING,PENDING,practice_variation_and_component_candidates,taper_efficacy_or_universal_duration,.omo/evidence/formation-research-v2/competition-anchor-primary-research.md
FRV2-SUP-K-003,RQ-K,Effects of an increase in intensity during tapering on 1500-m running performance.,2019,SMALL_TRIAL,10.1139/apnm-2018-0551,30608885,https://pubmed.ncbi.nlm.nih.gov/30608885/,trained_adult_runners,DIRECT_ADULT_MIDDLE_DISTANCE,NOT_FOUND_BY_DOI,PENDING_HUMAN_SCREENING,PENDING,PENDING,taper_intensity_variability_warning,exact_last_session_day_or_youth_rule,.omo/evidence/formation-research-v2/competition-anchor-primary-research.md
FRV2-SUP-K-004,RQ-K,Lower volume throughout the taper and higher intensity in the last interval session prior to a 1500 m time trial improves performance.,2021,COUNTERBALANCED_CROSSOVER,10.1139/apnm-2021-0103,34062089,https://pubmed.ncbi.nlm.nih.gov/34062089/,highly_trained_adult_male_middle_distance_runners,DIRECT_ADULT_MIDDLE_DISTANCE,LIKELY_CANONICAL_DUPLICATE,PENDING_DUPLICATE_CONFIRMATION,PENDING,PENDING,versioned_taper_template_candidate,universal_D_minus_3_or_component_causality,.omo/evidence/formation-research-v2/competition-anchor-primary-research.md
FRV2-SUP-K-005,RQ-K,"Champions are racers, not pacers: an analysis of qualification patterns of Olympic and IAAF World Championship middle distance runners.",2018,OBSERVATIONAL_COMPETITION_ANALYSIS,10.1080/02640414.2018.1472200,29722599,https://pubmed.ncbi.nlm.nih.gov/29722599/,adult_elite_800_1500_championship_rounds,DIRECT_COMPETITION_STRUCTURE,NOT_FOUND_BY_DOI,PENDING_HUMAN_SCREENING,PENDING,PENDING,multiple_rounds_are_distinct_bouts,recovery_time_or_equal_load_per_round,.omo/evidence/formation-research-v2/competition-anchor-primary-research.md
FRV2-SUP-K-006,RQ-K,Successful Pacing Profiles of Olympic and IAAF World Championship Middle-Distance Runners Across Qualifying Rounds and Finals.,2019,OBSERVATIONAL_COMPETITION_ANALYSIS,10.1123/ijspp.2018-0742,30569794,https://pubmed.ncbi.nlm.nih.gov/30569794/,adult_elite_800_1500_championship_rounds,DIRECT_COMPETITION_STRUCTURE,NOT_FOUND_BY_DOI,PENDING_HUMAN_SCREENING,PENDING,PENDING,preserve_round_identity_and_variation,physiological_equivalence_or_clearance,.omo/evidence/formation-research-v2/competition-anchor-primary-research.md
FRV2-SUP-K-007,RQ-K,National-Standard Middle-Distance Runners Maintain 1500 m Time Trial Running Performance on Successive Days.,2026,REPEATED_TIME_TRIAL,10.1002/ejsc.70142,41667403,https://pubmed.ncbi.nlm.nih.gov/41667403/,adult_national_standard_middle_distance_runners,DIRECT_ADULT_MIDDLE_DISTANCE,LIKELY_CANONICAL_DUPLICATE,PENDING_DUPLICATE_CONFIRMATION,PENDING,PENDING,performance_and_perceived_effort_can_diverge,24h_clearance_or_youth_readiness,.omo/evidence/formation-research-v2/competition-anchor-primary-research.md
FRV2-SUP-K-008,RQ-K,Menthol alleviates post-race elevations in muscle soreness and metabolic and respiratory stress during running.,2024,SMALL_CROSSOVER_INTERVENTION,10.1007/s00421-024-05463-w,38565706,https://pubmed.ncbi.nlm.nih.gov/38565706/,adult_distance_runners,DIRECT_ADULT_RUNNING_PARTIAL,NOT_FOUND_BY_DOI,PENDING_HUMAN_SCREENING,PENDING,PENDING,multi_bout_residual_response_context,universal_post_race_delay_or_menthol_rule,.omo/evidence/formation-research-v2/competition-anchor-primary-research.md
FRV2-SUP-K-009,RQ-K,Epidemiology of Injuries in United States High School Track and Field Running Events From 2008 to 2019.,2026,NATIONAL_SURVEILLANCE,10.4085/1062-6050-0203.25,42181777,https://pubmed.ncbi.nlm.nih.gov/42181777/,us_high_school_track_and_field,DIRECT_YOUTH_SURVEILLANCE,NOT_FOUND_BY_DOI,PENDING_HUMAN_SCREENING,PENDING,PENDING,competition_context_and_youth_safeguard_need,individual_risk_prediction_or_post_race_interval,.omo/evidence/formation-research-v2/competition-anchor-primary-research.md
FRV2-SUP-K-010,RQ-K,Post-Match Recovery Responses in Italian Serie A Youth Soccer Players: Effects of Manipulating Training Load 48 h After Match Play.,2025,RANDOMIZED_POST_MATCH_TRAINING,10.1002/ejsc.12297,40254901,https://pubmed.ncbi.nlm.nih.gov/40254901/,elite_youth_soccer_players,YOUTH_SPORT_INDIRECT,LIKELY_CANONICAL_DUPLICATE,PENDING_DUPLICATE_CONFIRMATION,PENDING,PENDING,recovery_metrics_and_followup_load_interact,runner_48h_prohibition_or_72h_clearance,.omo/evidence/formation-research-v2/competition-anchor-primary-research.md
FRV2-SUP-K-011,RQ-K,Isometric Posterior Chain Peak Force Recovery Response Following Match-Play in Elite Youth Soccer Players: Associations with Relative Posterior Chain Strength.,2019,OBSERVATIONAL_TIME_COURSE,10.3390/sports7100218,31581584,https://pubmed.ncbi.nlm.nih.gov/31581584/,elite_youth_soccer_players,YOUTH_SPORT_INDIRECT,LIKELY_CANONICAL_DUPLICATE,PENDING_DUPLICATE_CONFIRMATION,PENDING,PENDING,group_and_individual_recovery_diverge,48h_clearance_or_runner_transfer,.omo/evidence/formation-research-v2/competition-anchor-primary-research.md
