conflict_id,p1_plan_ids,target_paths,latest_owner_clause,research_inputs,decision_packets,remaining_gate,allowed_next_action,forbidden_action,current_authority
"FRV2-CONF-001","04;06;09","specs/reconstruct/TRAINING_PLAN_FORMATION_AND_ADAPTATION_SPEC.md;specs/reconstruct/FORMATION_PRODUCT_PROJECTION_AND_EXPLANATION_CONTRACT.md;specs/reconstruct/MICROCYCLE_AND_CALENDAR_MAPPING_SPEC.md;specs/reconstruct/PLAN_OUTPUT_RATIONALE_PRIVACY_SPEC.md","ONE_DETERMINISTIC_9_5_PLAN;EXECUTION_GATE_SEPARATE","reports/review/FORMATION_LATEST_DECISION_AND_USER_GAP_AUDIT_V2.md;reports/review/FORMATION_USER_SPEC_ALIGNMENT_REVIEW.md","reports/review/COACH_TEAM_AND_MICROCYCLE_VIEW_DECISION.md;FORMATION_PRODUCT_PROJECTION_ACCEPTANCE_DECISION.md","OWNER_AND_NAMED_HUMAN_REVIEW;PLAN_VERSION_AND_CALENDAR_BINDING","Prepare a canonical patch proposal that separates deterministic default selection from execution and preserves lineage","Do not approve a plan or activate selection execution calendar writes or runtime projection","PREPARATION_ONLY_NO_APPROVAL_NO_RUNTIME"
"FRV2-CONF-002","01","specs/active/PLAN_GENERATOR_SPEC.md","DEFAULT_AUTOMATED_PRESCRIPTION","reports/review/FORMATION_LATEST_DECISION_AND_USER_GAP_AUDIT_V2.md;reports/review/FORMATION_USER_SPEC_ALIGNMENT_REVIEW.md","FORMATION_COACH_RULESET_ACCEPTANCE_DECISION.md","COACH_OWNER_WALKTHROUGH;QUALIFIED_PRIVACY_REVIEW;OWNER_RULESET_DECISION","Prepare the deterministic-primary-default and separate youth execution-confirmation patch after named gates","Do not restore a mandatory chooser approve coach rules or authorize runtime","PREPARATION_ONLY_NO_APPROVAL_NO_RUNTIME"
"FRV2-CONF-003","01;03","specs/active/TEMPLATE_LIBRARY_SPEC.md;specs/active/PHYSIO_SOURCE_TRUST_SPEC.md","DEFAULT_AUTOMATED_PRESCRIPTION_WITH_REVIEW_REQUIRED_NON_AUTO_SELECTABLE","reports/research/FORMATION_MINIMUM_EVIDENCE_METHODS_REVIEW.md;reports/review/FORMATION_LATEST_DECISION_AND_USER_GAP_AUDIT_V2.md","reports/review/FORMATION_LOAD_COMPONENT_DECISION_PACKET_V2.md;reports/review/FORMATION_MINIMUM_EVIDENCE_DECISION_PACKET_V2.md","COACH_RULESET_OWNER_DECISION;STATISTICS_REVIEW;QUALIFIED_PRIVACY_REVIEW","Prepare versioned consumer constraints and fail-closed suppression for ineligible inputs","Do not treat prepared research as accepted appraisal or restore coach-only final selection","PREPARATION_ONLY_NO_APPROVAL_NO_RUNTIME"
"FRV2-CONF-004","09","FORMATION_RESEARCH_ACCEPTANCE_DECISION.md;TRAINING_PLAN_METHOD_DECISION.md;FABLE_CODEX_JOINT_PLANNING_BRIEF.md;TRAINING_PLAN_BLUEPRINT_MULTIPERSPECTIVE_REVIEW.md;reports/research/FORMATION_SPORTS_SCIENCE_EVIDENCE_REVIEW.md","LATEST_EXPLICIT_OWNER_DECISION_GOVERNS","reports/research/FORMATION_SPORTS_SCIENCE_EVIDENCE_REVIEW.md;reports/review/FORMATION_LATEST_DECISION_AND_USER_GAP_AUDIT_V2.md","FORMATION_RESEARCH_ACCEPTANCE_DECISION.md","INDEPENDENT_DOCUMENTATION_REVIEW","Add visible superseded-product-direction markers while preserving historical evidence","Do not rewrite historical runtime or scientific findings as current approval","PREPARATION_ONLY_NO_APPROVAL_NO_RUNTIME"
"FRV2-CONF-005","09","FORMATION_READ_NOW_DECIDE_LATER.md","LATEST_EXPLICIT_OWNER_DECISION_GOVERNS","reports/review/FORMATION_LATEST_DECISION_AND_USER_GAP_AUDIT_V2.md;reports/review/FORMATION_USER_SPEC_ALIGNMENT_REVIEW.md","FORMATION_RESEARCH_ACCEPTANCE_DECISION.md","INDEPENDENT_DOCUMENTATION_REVIEW","Replace only obsolete target-direction wording and retain no-active-runtime-before-gates","Do not claim active automated prescription or human acceptance","PREPARATION_ONLY_NO_APPROVAL_NO_RUNTIME"
"FRV2-CONF-006","09","FORMATION_DEFERRED_GOALS.md","9_5_DAY_DEFAULT_AUTOMATED_PRESCRIPTION_FIXED","reports/review/FORMATION_LATEST_DECISION_AND_USER_GAP_AUDIT_V2.md;reports/review/FORMATION_USER_SPEC_ALIGNMENT_REVIEW.md","FORMATION_PRODUCT_PROJECTION_ACCEPTANCE_DECISION.md","INDEPENDENT_DOCUMENTATION_REVIEW;NAMED_PRODUCT_REVIEW","Remove fixed product identity and default selection from deferred scope while retaining activation gates","Do not undefer safety privacy human review implementation deployment or runtime","PREPARATION_ONLY_NO_APPROVAL_NO_RUNTIME"
"FRV2-CONF-007","05;07;10","specs/reconstruct/DAILY_LOG_AND_CHECKIN_SPEC.md;RACE_SELFCHECK_FIELDS_DECISION.md","MEMOS_EXCLUDED_BY_DEFAULT;OWNER_FULL_LOCAL_BACKUP_EXPLICIT_INCLUDE","reports/review/FORMATION_RUNTIME_SECURITY_AND_PRIVACY_AUDIT.md;reports/review/FORMATION_USER_SPEC_ALIGNMENT_REVIEW.md","FORMATION_PRIVACY_GOVERNANCE_DECISION.md;reports/review/PRIVACY_YOUTH_QUALIFIED_REVIEW_PACKET.md","NAMED_QUALIFIED_PRIVACY_REVIEW;OWNER_GOVERNANCE_DECISION","Prepare a local preview-and-confirmation file operation with memo inclusion explicit","Do not create network sharing analytics consent reward Formation or private-note signal","PREPARATION_ONLY_NO_APPROVAL_NO_RUNTIME"
"FRV2-CONF-008","10","specs/reconstruct/FORMATION_RECORD_GOVERNANCE_CONTRACT.md;specs/reconstruct/HUMAN_REVIEW_AND_SHARING_WORKFLOW.md;reports/target-patch-plans/10-record-governance.md","USER_DIRECTED_RECIPIENT_SHARE_ALLOWED_BUT_NOT_IMPLEMENTED","reports/review/FORMATION_RUNTIME_SECURITY_AND_PRIVACY_AUDIT.md;reports/review/FORMATION_USER_SCENARIOS_AND_TEACH_BACK_V1.md","FORMATION_PRIVACY_GOVERNANCE_DECISION.md;reports/review/PRIVACY_YOUTH_QUALIFIED_REVIEW_PACKET.md","OI-FRG-RECIPIENT-SHARE-001_OPEN;NAMED_QUALIFIED_PRIVACY_REVIEW;OWNER_GOVERNANCE_DECISION;ACCEPTED_IMPLEMENTATION_AND_PRIVACY_EVIDENCE","Keep recipient sharing owned by P1 plan 10 and prepare recipient scope expiry preview confirmation revocation and deletion requirements","Do not claim sharing is available or grant analysis consent standing access Formation plan safety reward telemetry or secondary use","PREPARATION_ONLY_NO_APPROVAL_NO_RUNTIME"
"FRV2-CONF-009","05;09","reports/review/FORMATION_ACCESSIBILITY_AND_DESIGN_REVIEW.md;specs/reconstruct/FORMATION_PRODUCT_PROJECTION_AND_EXPLANATION_CONTRACT.md","USER_COMPREHENSION_AND_ACCESSIBILITY_REQUIRED","reports/review/FORMATION_USER_SPEC_ALIGNMENT_REVIEW.md;reports/review/FORMATION_USER_SCENARIOS_AND_TEACH_BACK_V1.md","FORMATION_PRODUCT_PROJECTION_ACCEPTANCE_DECISION.md;reports/review/FORMATION_ACCESSIBILITY_AND_DESIGN_REVIEW.md","NAMED_ATHLETE_COACH_PRIVACY_AND_ASSISTIVE_TECHNOLOGY_REVIEW;OWNER_PRODUCT_REVIEW","Run the prepared Korean comprehension reflow keyboard screen-reader contrast and reduced-motion cases with named humans","Do not infer human accessibility or product acceptance from automated preparation","PREPARATION_ONLY_NO_APPROVAL_NO_RUNTIME"
"FRV2-CONF-010","03;07;10","RACE_SELFCHECK_FIELDS_DECISION.md","CURRENT_DISPLAY_ONLY_FUTURE_ANALYSIS_INTENDED_FOR_ATHLETE_OWN_ANALYSIS","reports/research/RACE_DESCRIPTIVE_ANALYSIS_REVIEW.md;reports/research/FORMATION_MINIMUM_EVIDENCE_METHODS_REVIEW.md","RACE_SELFCHECK_FIELDS_DECISION.md;reports/review/FORMATION_MINIMUM_EVIDENCE_DECISION_PACKET_V2.md","OWNER_ANALYSIS_CONTRACT_DECISION;STATISTICS_REVIEW;NAMED_QUALIFIED_PRIVACY_REVIEW","Preserve display-only behavior and prepare a separately approved athlete-own analysis contract","Do not use self-check data now for plan safety reward telemetry coach guardian third-party or cross-athlete purposes","PREPARATION_ONLY_NO_APPROVAL_NO_RUNTIME"
"FRV2-CONF-011","01;08","specs/reconstruct/FORMATION_COACH_RULESET_AND_EXPOSURE_CONTRACT.md;specs/test-packages/FORMATION_COACH_RULESET_FIXTURES.md","NO_AUTOMATED_PLAN_KEEP_CURRENT_COACH_AUTHORED_PLAN","reports/review/FORMATION_LATEST_DECISION_AND_USER_GAP_AUDIT_V2.md;reports/review/FORMATION_USER_SCENARIOS_AND_TEACH_BACK_V1.md","FORMATION_COACH_RULESET_ACCEPTANCE_DECISION.md","COACH_OWNER_WALKTHROUGH;QUALIFIED_PRIVACY_REVIEW;OWNER_RULESET_DECISION","Prepare explicit clarification reason and preserved-plan outcome fixtures","Do not invent an alternate frame catch-up debt exception plan or runtime behavior","PREPARATION_ONLY_NO_APPROVAL_NO_RUNTIME"
"FRV2-CONF-012","01;02;06;08;10","specs/reconstruct/TRAINING_PLAN_FORMATION_AND_ADAPTATION_SPEC.md;specs/reconstruct/FORMATION_COACH_RULESET_AND_EXPOSURE_CONTRACT.md","ONE_COMPLETED_COMPETITION_RECORD_ONE_EXPOSURE;MULTI_BOUT_RECORD_IDENTITY_UNRESOLVED","reports/research/FORMATION_COMPETITION_ANCHOR_EVIDENCE_SUPPLEMENT.md;reports/research/RACE_DESCRIPTIVE_ANALYSIS_REVIEW.md","reports/review/FORMATION_COMPETITION_ANCHOR_DECISION_PACKET_V1.md","CA-02_CA-03_OWNER_DECISION;YOUTH_SPORT_SCIENCE_REVIEW;NAMED_QUALIFIED_PRIVACY_REVIEW","Keep current counting and prepare an owner decision on anchor and completed-bout identity with parent-child dedupe","Do not make multi-bout identity canonical count a calendar anchor or infer GPS private notes or fine-grained location","PREPARATION_ONLY_NO_APPROVAL_NO_RUNTIME"
